Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AFSPC,163 RW,146 AMW,ANG,Unit 75,Unit 75,UEI,duis at velit eu,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,7/20/2015,8/2/2014,9/14/2015,7/31/2015,12/25/2014,3,173.210.192.171,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",A7,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Implemented,SUB-CATEGORY,1.3.1.1 Root Casue Name,Significant,Sara Burns,Mary Watkins,,TRUE,TRUE,TRUE,FALSE,823-39-5212,1/15/2015,Anna Gray,In Progress,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,lacinia sapien quis libero nullam sit amet,Primary,EQ1 Equipment reliability
AFSPC,144 FW,146 AMW,ANG,Unit 16,Unit 16,UEI,maecenas ut massa,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,12/5/2014,2/25/2015,1/7/2014,5/27/2015,11/19/2014,216,86.31.84.239,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",A5,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,Open,SUB-CATEGORY,1.1.2.3 Root Casue Name,Minor,Ruth Gonzalez,Michelle Thompson,,FALSE,TRUE,FALSE,FALSE,356-78-9469,10/23/2015,Jonathan Miller,Complete,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,posuere metus vitae ipsum aliquam non mauris,Primary,EQ2 Inadequate/Unavailable equipment 
AFSPC,163 RW,146 AMW,ANG,Unit 56,Unit 56,UEI,lorem quisque ut erat curabitur,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,4/12/2014,11/26/2014,11/28/2014,2/14/2015,1/28/2015,565,114.105.176.158,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A5,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,Proposed,SUB-CATEGORY,1.4.4.4 Root Casue Name,Critcal,Cheryl Garcia,Nancy Hill,,FALSE,TRUE,FALSE,FALSE,295-58-5079,7/15/2015,Carol Fox,Not Started,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,massa quis augue luctus tincidunt nulla mollis molestie lorem,Contributing,EQ3 Equipment/Tool Accountability inadequate
AMW,146 AMW,195 W,ANG,Unit 78,Unit 78,UEI,non pretium quis,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,1/5/2015,10/5/2014,5/30/2014,6/29/2015,8/13/2015,9,31.152.198.216,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A6,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,Proposed,SUB-CATEGORY,1.3.1.1 Root Casue Name,Critcal,Russell Boyd,Angela Jordan,,FALSE,TRUE,TRUE,TRUE,372-97-3350,11/6/2015,Steve Nelson,Complete,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,luctus tincidunt nulla mollis molestie lorem quisque,Primary,GD1 Guidance used was inadequate or not available 
ACC,195 W,144 FW,ANG,Unit 94,Unit 94,CCIP,diam nam tristique,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,10/4/2014,5/30/2014,10/20/2014,10/25/2015,8/31/2015,79,254.142.2.198,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",SE,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,Proposed,SUB-CATEGORY,1.4.4.2 Root Casue Name,Critcal,Amy Ramos,Kenneth Bishop,,FALSE,TRUE,TRUE,FALSE,817-24-3271,4/15/2015,Timothy Harper,In Progress,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,elit ac nulla sed vel enim sit amet nunc viverra,Contributing,GD2 Guidance used conflicted with other approved guidance 
AFSPC,144 FW,146 AMW,ANG,Unit 93,Unit 93,CCIP,duis consequat dui nec nisi,lectus in est risus auctor sed tristique in tempus sit amet sem,9/4/2014,4/13/2014,9/3/2015,5/14/2015,9/30/2015,547,174.97.192.170,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,A5,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,Proposed,SUB-CATEGORY,1.4.3.2 Root Casue Name,Minor,Alan Riley,Jane Jones,,TRUE,FALSE,TRUE,FALSE,198-59-0734,4/19/2015,Paula Gray,Not Started,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,ante vel ipsum praesent blandit lacinia erat vestibulum sed,Contributing,GD3 Guidance used was obsolete or not approved 
AETC,163 RW,163 RW,ANG,Unit 46,Unit 46,UEI,non lectus aliquam sit,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,10/25/2014,4/20/2014,12/27/2013,5/4/2015,6/16/2015,542,213.240.213.17,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A9,at nunc commodo placerat praesent blandit nam nulla integer pede,Implemented,SUB-CATEGORY,1.1.2.3 Root Casue Name,Critcal,Diana Bell,Jeffrey West,,TRUE,FALSE,TRUE,FALSE,879-36-6429,1/2/2015,Sean Armstrong,Not Started,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,nibh in hac habitasse platea dictumst aliquam augue,Primary,GD4 Inspected unit guidance (Wing or Below) 
ACC,146 AMW,129 RQW,ANG,Unit 94,Unit 94,UEI,felis eu sapien,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,5/14/2015,10/13/2015,8/8/2015,11/13/2014,10/30/2015,675,77.213.65.197,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",A8,maecenas tristique est et tempus semper est quam pharetra magna,Accepted,SUB-CATEGORY,1.2.4.3 Root Casue Name,Critcal,Janice Andrews,Laura Torres,,TRUE,TRUE,TRUE,TRUE,221-74-5027,8/5/2015,Billy Wells,In Progress,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,tincidunt in leo maecenas pulvinar lobortis,Primary,GD5 Other than inspected unit guidance 
AMW,195 W,146 AMW,ANG,Unit 88,Unit 88,CCIP,et magnis dis,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,12/13/2014,3/16/2015,12/15/2013,3/31/2015,4/20/2015,380,120.185.50.173,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",A2,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,Pending,SUB-CATEGORY,1.1.4.4 Root Casue Name,Significant,Ernest Mccoy,Justin Rogers,,TRUE,TRUE,TRUE,FALSE,640-93-3496,5/26/2015,Rebecca Watson,Complete,dui proin leo odio porttitor id consequat in consequat ut nulla sed,vel enim sit amet nunc viverra dapibus nulla suscipit ligula,Contributing,LS1 Supervisor/leadership involvement insufficient
AMW,195 W,195 W,ANG,Unit 70,Unit 70,CCIP,pede lobortis ligula sit,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,7/8/2014,6/15/2014,11/16/2013,4/15/2015,7/9/2015,460,43.171.196.7,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",SG,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,Implemented,SUB-CATEGORY,1.1.3.1 Root Casue Name,Minor,Gregory Ray,Patricia Hicks,,FALSE,TRUE,TRUE,FALSE,218-78-9395,3/11/2015,Rebecca Johnston,Complete,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,mus etiam vel augue vestibulum rutrum,Contributing,LS2 Ineffective communication 
